job_id,job_title,company_name,time_posted,location,seniority_level,employment_type,job_function,industries,function,industry,city
4245897339,Finance Manager,Jindal Steel & Power Ltd.,2 days ago,"Angul, Odisha, India",Mid-Senior level,Full-time,"Strategy/Planning, Accounting/Auditing, and Finance","Primary Metal Manufacturing, Manufacturing, and Mining",Strategy/Planning,Primary,Angul
4245249406,Software Engineer,Capgemini,3 days ago,"Gurgaon, Haryana, India",Entry level,Internship,Engineering and Information Technology,IT Services and IT Consulting,Engineering,IT,Gurgaon
4246489290,"Quality, Powai West",Larsen & Toubro,1 day ago,Mumbai Metropolitan Region,Entry level,Full-time,Quality Assurance,Executive Offices,Quality,Executive,Mumbai
4245299476,Sr. Manager - Finance Business Partner,Flipkart,3 days ago,"Bengaluru, Karnataka, India",Not Applicable,Full-time,Finance and Sales,"Manufacturing and Technology, Information and Internet",Finance,Manufacturing,Bengaluru
4245527597,"Operations Lead, Amazon Fresh",Amazon,3 days ago,Mumbai Metropolitan Region,Mid-Senior level,Full-time,"Management, Distribution, and Supply Chain",Software Development,Management,Software,Mumbai
4244737264,Assistant Manager,Cadila Pharmaceuticals Limited,3 weeks ago,"Gandhinagar, Gujarat, India",Mid-Senior level,Full-time,Other,Pharmaceutical Manufacturing,Other,Pharmaceutical,Gandhinagar
4245274789,Supervisor - HR Systems & HR Services,Larsen & Toubro,3 days ago,Mumbai Metropolitan Region,Mid-Senior level,Full-time,Human Resources,Executive Offices,Human,Executive,Mumbai
4245523830,"Operations Lead, Amazon Fresh",Amazon,3 days ago,Mumbai Metropolitan Region,Mid-Senior level,Full-time,"Management, Distribution, and Supply Chain",Software Development,Management,Software,Mumbai
4246946777,Assistant Buyer,Larsen & Toubro,9 hours ago,"Hadgaon, Maharashtra, India",Mid-Senior level,Full-time,Purchasing and Supply Chain,Executive Offices,Purchasing,Executive,Hadgaon
4245527595,"Operations Lead, Amazon Fresh",Amazon,3 days ago,Mumbai Metropolitan Region,Mid-Senior level,Full-time,"Management, Distribution, and Supply Chain",Software Development,Management,Software,Mumbai
4245704682,"Business Finance - SA, Analyst",Deutsche Bank,2 days ago,"Mumbai, Maharashtra, India",Not Applicable,Full-time,Finance and Sales,Financial Services,Finance,Financial,Mumbai
4245906096,AGM Production Dahej B,Gujarat Fluorochemicals Limited,2 days ago,"Dahej, Gujarat, India",Executive,Full-time,Management and Manufacturing,Chemical Manufacturing,Management,Chemical,Dahej
4243914623,INTERNSHIP,Invest India - China ( 投资印度 - 中国),1 day ago,"Bengaluru, Karnataka, India",Internship,Internship,Education and Training,Government Administration,Education,Government,Bengaluru
4245205483,Vendor Partner Lead,LinkedIn,3 days ago,"Bengaluru, Karnataka, India",Mid-Senior level,Full-time,Sales,"Technology, Information and Internet",Sales,Technology,Bengaluru
4245529094,Process Assistant,Amazon,3 days ago,Mumbai Metropolitan Region,Not Applicable,Full-time,"Management, Distribution, and Supply Chain",Software Development,Management,Software,Mumbai
